73,23,1
73,24,1
73,25,1
73,26,1
73,27,1
73,28,1
73,29,1
73,30,1
73,31,1
73,32,1
73,33,0
73,34,0
69,86,1
69,87,1
69,88,1
69,89,1
69,90,1
71,86,1
71,87,1
71,88,1
71,89,1
71,90,1
70,91,0
70,92,1
70,93,1
70,94,1
71,91,1
71,92,1
71,93,1
71,94,1
72,91,0
72,92,1
72,93,1
72,94,1
69,93,1
69,94,1
69,95,1
69,96,1
69,97,1
69,98,1
69,99,1
69,100,1
73,93,1
73,94,1
73,95,1
73,96,1
73,97,1
73,98,1
73,99,1
73,100,1
73,23,0
73,24,1
73,25,1
73,26,1
73,27,1
73,28,1
73,29,1
73,30,1
73,31,1
73,32,1
73,33,1
73,34,1
73,35,1
73,36,1
73,37,1
73,38,1
73,39,1
73,40,1
71,41,1
71,42,1
71,43,1
71,44,1
71,45,1
71,46,1
71,47,0
71,48,1
71,49,1
71,50,1
71,51,1
71,52,0
71,53,1
71,54,1
71,55,1
69,11,1
69,12,1
69,13,1
69,14,1
69,15,1
69,16,1
69,17,1
69,18,1
