1,1,agoing lesson,agoing lesson description,2022-01-01,13:54:00,15:24:00,106.75,25,room 4
1,2,oking lesson,oking lesson description,2022-01-08,10:57:00,12:27:00,24.25,25,online
1,1,analysising lesson,analysising lesson description,2022-01-16,08:25:00,09:55:00,130.69,25,room 8
1,2,factoring lesson,factoring lesson description,2022-01-23,11:40:00,13:10:00,173.01,25,room 29
1,1,stronging lesson,stronging lesson description,2022-01-31,12:09:00,13:39:00,410.01,25,room 9
2,1,childing lesson,childing lesson description,2022-02-01,10:53:00,12:23:00,403.76,25,room 29
2,1,treating lesson,treating lesson description,2022-02-07,16:41:00,18:11:00,243.60,25,online
2,2,anying lesson,anying lesson description,2022-02-14,15:11:00,16:41:00,147.41,25,room 15
2,5,sporting lesson,sporting lesson description,2022-02-21,13:04:00,14:34:00,258.68,25,room 14
2,3,liveing lesson,liveing lesson description,2022-02-28,17:29:00,18:59:00,244.34,25,room 3
3,4,pasting lesson,pasting lesson description,2022-03-01,08:25:00,09:55:00,167.56,25,room 15
3,3,skining lesson,skining lesson description,2022-03-08,09:52:00,11:22:00,408.36,25,room 20
3,1,shorting lesson,shorting lesson description,2022-03-16,10:24:00,11:54:00,347.43,25,room 6
3,2,whethering lesson,whethering lesson description,2022-03-23,12:00:00,13:30:00,374.43,25,room 29
3,2,rooming lesson,rooming lesson description,2022-03-31,16:41:00,18:11:00,227.14,25,online
None,1,arriveing lesson,arriveing lesson description,2022-01-01,17:51:00,19:21:00,494.53,35,room 21
None,3,scoreing lesson,scoreing lesson description,2022-03-01,16:04:00,17:34:00,362.55,35,online
None,3,asking lesson,asking lesson description,2022-04-29,10:55:00,12:25:00,22.44,35,room 20
None,4,airing lesson,airing lesson description,2022-06-27,10:39:00,12:09:00,166.31,35,room 12
None,2,developmenting lesson,developmenting lesson description,2022-08-26,17:30:00,19:00:00,271.36,35,room 10
4,3,ending lesson,ending lesson description,2022-03-01,12:57:00,14:27:00,342.52,35,room 3
4,3,beyonding lesson,beyonding lesson description,2022-03-10,12:30:00,14:00:00,21.01,35,room 4
4,2,workering lesson,workering lesson description,2022-03-20,09:17:00,10:47:00,257.60,35,online
